id,duration,show_name,show_description,genres,episode_name,episode_description,explicit,category
1,23.5,The Daily,"This is what the news should sound like. The biggest stories of our time, told by the best journalists in the world. Hosted by Michael Barbaro. Twenty minutes a day, five days a week, ready by 6 a.m.","Daily News, News, Politics, Business",Targeting Overseas Tax Shelters,"The I.R.S. says that Bristol Myers Squibb, America’s second-largest drug company, has engaged a tax-shelter setup that has deprived the United States of $1.4 billion in tax revenue. The Biden administration is looking to put an end to such practices to pay for its policy ambitions, including infrastructure like improving roads and bridges and revitalizing cities. We look at the structure of these tax arrangements and explore how, and whether, it’s possible to clamp down on them.",no,News
2,32.5,The Daily,"This is what the news should sound like. The biggest stories of our time, told by the best journalists in the world. Hosted by Michael Barbaro. Twenty minutes a day, five days a week, ready by 6 a.m.","Daily News, News, Politics, Business",A Vast Web of Vengeance,"How one woman with a grudge was able to slander an entire family online, while the sites she used avoided blame.",no,News
3,27,The Daily,"This is what the news should sound like. The biggest stories of our time, told by the best journalists in the world. Hosted by Michael Barbaro. Twenty minutes a day, five days a week, ready by 6 a.m.","Daily News, News, Politics, Business",A Military That Murders Its Own People,"Two months ago, Myanmar’s military carried out a coup, deposing the country’s elected civilian leader, Aung San Suu Kyi, and closing the curtains on a five-year experiment with democracy. Since then, the Burmese people have expressed their discontent through protest and mass civil disobedience. The military has responded with brutal violence. We look at the crackdown and how Myanmar’s unique military culture encourages officers to see civilians as the enemy.",no,News
4,52.5,The Daily,"This is what the news should sound like. The biggest stories of our time, told by the best journalists in the world. Hosted by Michael Barbaro. Twenty minutes a day, five days a week, ready by 6 a.m.","Daily News, News, Politics, Business",The Sunday Read: ‘The Beauty of 78.5 Million Followers’,"During the pandemic, cheerleader-ish girls performing slithery hip-hop dances to rap music on TikTok has been the height of entertainment — enjoyed both genuinely and for laughs. Addison Rae, one such TikToker, is the second-most-popular human being on the platform, having amassed a following larger than the population of the United Kingdom. In seeking to monetize this popularity, she has followed a path forged by many social media stars and A-list celebrities like Rihanna and Kylie Jenner: She has started her own beauty brand. On today’s Sunday Read, a look at how beauty has entered a phase of total pop-culture domination and how influencers are changing the way the sell works by mining the intimate relationships they have with their fans.",no,News
5,28.5,The Daily,"This is what the news should sound like. The biggest stories of our time, told by the best journalists in the world. Hosted by Michael Barbaro. Twenty minutes a day, five days a week, ready by 6 a.m.","Daily News, News, Politics, Business",Inside the Biden Infrastructure Plan,"President Biden is pushing the boundaries of how most Americans think of infrastructure. In a speech on Wednesday, he laid out his vision for revitalizing the nation’s infrastructure in broad, sweeping terms: evoking racial equality, climate change and support for the middle class. His multitrillion-dollar plan aims not only to repair roads and bridges, but also to bolster the nation’s competitiveness in things like 5G, semiconductors and human infrastructure. Today, we take a detailed look at what his plans entail and the congressional path he will have to navigate to get it passed. ",no,News
6,40,The Daily,"This is what the news should sound like. The biggest stories of our time, told by the best journalists in the world. Hosted by Michael Barbaro. Twenty minutes a day, five days a week, ready by 6 a.m.","Daily News, News, Politics, Business",A Union Drive at Amazon,"Since its earliest days, Amazon has been anti-union, successfully quashing any attempt by workers to organize. A group of workers at an Amazon warehouse in Bessemer, Ala., just might change that — depending on the outcome of a vote this week. We look at how their effort came together and what it means for the nature of work in savvy, growing companies like Amazon.",no,News
7,29,Global News Podcast,"The days top stories from BBC News. Delivered twice a day on weekdays, daily at weekends","Daily News, News",Coronavirus: How is Astra Zeneca vaccine safety row affecting public confidence ?,"Concerns voiced over whether Astra Zeneca vaccine causes blood-clots in the brain. Several countries have restricted use of the vaccine until more is known about possible links. Also, China tries to persuade its 'one-child' generation to have more babies, and how Kim Kardashian has joined the ranks of the world's billionaires.",no,News
8,32,Global News Podcast,"The days top stories from BBC News. Delivered twice a day on weekdays, daily at weekends","Daily News, News",US joins talks aimed at reviving Iran nuclear deal,"Diplomats in Vienna are discussing how the US can lift sanctions and Iran return to compliance. Also: Brazil variant drives South America covid surge, and a man is arrested over Van Gogh and Frans Hals art thefts.",no,News
9,31,Global News Podcast,"The days top stories from BBC News. Delivered twice a day on weekdays, daily at weekends","Daily News, News",US police chief says Chauvin broke force policy,"The Minneapolis police chief has testified in the trial of the ex-officer accused of killing George Floyd. Also: Google handed win in 10 year Oracle court battle, and the demise of LG mobiles",no,News
10,29.5,Global News Podcast,"The days top stories from BBC News. Delivered twice a day on weekdays, daily at weekends","Daily News, News",Jordanian prince vows to defy 'house arrest',"Prince Hamzah says he won't stay quiet after being accused of plotting to destabilise the state. Also: the Israeli PM's corruption trial is told he sought improper benefits from media bosses, and the business owner who offered a job to the man who tried to burgle his restaurant.",no,News
11,32,Global News Podcast,"The days top stories from BBC News. Delivered twice a day on weekdays, daily at weekends","Daily News, News",Claims of a coup plot in Jordan,"The authorities detain the former crown prince and other high profile figures in Jordan for what's been described as ""security reasons"". Also: the German president tells the country's political leaders to ""get it together"" in the face of a third wave of coronavirus, and a ceremony unlike any other in Cairo as mummified Pharaohs are moved to a new home.",no,News
